product,dirname,varname,long_name,code,table
land,/g/data/ub4/era5/netcdf/land/stl1,stl1,Soil temperature level 1,139,128
land,/g/data/ub4/era5/netcdf/land/ssro,ssro,Sub-surface runoff,9,128
land,/g/data/ub4/era5/netcdf/land/evavt,evavt,Evaporation from vegetation transpiration,103,228
land,/g/data/ub4/era5/netcdf/land/skt,skt,Skin temperature,235,128
land,/g/data/ub4/era5/netcdf/land/stl2,stl2,Soil temperature level 2,170,128
land,/g/data/ub4/era5/netcdf/land/v10,v10,10 metre V wind component,166,128
land,/g/data/ub4/era5/netcdf/land/swvl3,swvl3,Volumetric soil water layer 3,41,128
land,/g/data/ub4/era5/netcdf/land/ro,ro,Runoff,205,128
land,/g/data/ub4/era5/netcdf/land/lai_lv,lai_lv,"Leaf area index, low vegetation",66,128
land,/g/data/ub4/era5/netcdf/land/ssrd,ssrd,Surface solar radiation downwards,169,128
land,/g/data/ub4/era5/netcdf/land/evatc,evatc,Evaporation from the top of canopy,100,228
land,/g/data/ub4/era5/netcdf/land/u10,u10,10 metre U wind component,165,128
land,/g/data/ub4/era5/netcdf/land/sro,sro,Surface runoff,8,128
land,/g/data/ub4/era5/netcdf/land/t2m,t2m,2 metre temperature,167,128
land,/g/data/ub4/era5/netcdf/land/sp,sp,Surface pressure,134,128
land,/g/data/ub4/era5/netcdf/land/stl4,stl4,Soil temperature level 4,236,128
land,/g/data/ub4/era5/netcdf/land/pev,pev,Potential evaporation,251,228
land,/g/data/ub4/era5/netcdf/land/tp,tp,Total precipitation,228,128
land,/g/data/ub4/era5/netcdf/land/swvl1,swvl1,Volumetric soil water layer 1,39,128
land,/g/data/ub4/era5/netcdf/land/sde,sde,Snow depth,141,128
land,/g/data/ub4/era5/netcdf/land/evabs,evabs,Evaporation from bare soil,101,228
land,/g/data/ub4/era5/netcdf/land/swvl2,swvl2,Volumetric soil water layer 2,40,128
land,/g/data/ub4/era5/netcdf/land/swvl4,swvl4,Volumetric soil water layer 4,42,128
land,/g/data/ub4/era5/netcdf/land/lai_hv,lai_hv,"Leaf area index, high vegetation",67,128
land,/g/data/ub4/era5/netcdf/land/stl3,stl3,Soil temperature level 3,183,128
land,/g/data/ub4/era5/netcdf/land/evapt,e,Evaporation,182,128
land,/g/data/ub4/era5/netcdf/land/d2m,d2m,2 metre dewpoint temperature,168,128
surface,/g/data/ub4/era5/netcdf/surface/ssr,ssr,Surface net solar radiation,176,128
surface,/g/data/ub4/era5/netcdf/surface/strd,strd,Surface thermal radiation downwards,175,128
surface,/g/data/ub4/era5/netcdf/surface/cin,cin,Convective inhibition,1,228
surface,/g/data/ub4/era5/netcdf/surface/strdc,strdc,Surface thermal radiation downward clear-sky,130,228
surface,/g/data/ub4/era5/netcdf/surface/str,str,Surface net thermal radiation,177,128
surface,/g/data/ub4/era5/netcdf/surface/vinwvf,vinwvf,Vertical integral of northward water vapour flux,72,162
surface,/g/data/ub4/era5/netcdf/surface/mx2t,mx2t,Maximum temperature at 2 metres since previous post-processing,201,128
surface,/g/data/ub4/era5/netcdf/surface/v10,v10,10 metre V wind component,166,128
surface,/g/data/ub4/era5/netcdf/surface/ssrd,ssrd,Surface solar radiation downwards,169,128
surface,/g/data/ub4/era5/netcdf/surface/cape,cape,Convective available potential energy,59,128
surface,/g/data/ub4/era5/netcdf/surface/tcwv,tcwv,Total column water vapour,137,128
surface,/g/data/ub4/era5/netcdf/surface/sf,sf,Snowfall,144,128
surface,/g/data/ub4/era5/netcdf/surface/sst,sst,Sea surface temperature,34,128
surface,/g/data/ub4/era5/netcdf/surface/v100,v100,100 metre V wind component,247,228
surface,/g/data/ub4/era5/netcdf/surface/slhf,slhf,Surface latent heat flux,147,128
surface,/g/data/ub4/era5/netcdf/surface/cp,cp,Convective precipitation,143,128
surface,/g/data/ub4/era5/netcdf/surface/u10,u10,10 metre U wind component,165,128
surface,/g/data/ub4/era5/netcdf/surface/msl,msl,Mean sea level pressure,151,128
surface,/g/data/ub4/era5/netcdf/surface/t2m,t2m,2 metre temperature,167,128
surface,/g/data/ub4/era5/netcdf/surface/v10n,v10n,Neutral wind at 10 m v-component,132,228
surface,/g/data/ub4/era5/netcdf/surface/sp,sp,Surface pressure,134,128
surface,/g/data/ub4/era5/netcdf/surface/tp,tp,Total precipitation,228,128
surface,/g/data/ub4/era5/netcdf/surface/mtnlwrf,mtnlwrf,Mean top net long-wave radiation flux,40,235
surface,/g/data/ub4/era5/netcdf/surface/mn2t,mn2t,Minimum temperature at 2 metres since previous post-processing,202,128
surface,/g/data/ub4/era5/netcdf/surface/viewvf,viewvf,Vertical integral of eastward water vapour flux,71,162
surface,/g/data/ub4/era5/netcdf/surface/fg10,fg10,10 metre wind gust since previous post-processing,49,128
surface,/g/data/ub4/era5/netcdf/surface/u100,u100,100 metre U wind component,246,228
